[2019-12-04 10:26:33] app.INFO: Generate html template referralprogram-invitation at /opt/bitnami/prestashop/modules//referralprogram/mails/pl/referralprogram-invitation.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template referralprogram-invitation at /opt/bitnami/prestashop/modules//referralprogram/mails/pl/referralprogram-invitation.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template referralprogram-voucher at /opt/bitnami/prestashop/modules//referralprogram/mails/pl/referralprogram-voucher.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template referralprogram-voucher at /opt/bitnami/prestashop/modules//referralprogram/mails/pl/referralprogram-voucher.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template customer_qty at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/customer_qty.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template customer_qty at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/customer_qty.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template new_order at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/new_order.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template new_order at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/new_order.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template order_changed at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/order_changed.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template order_changed at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/order_changed.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template productcoverage at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/productcoverage.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template productcoverage at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/productcoverage.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template productoutofstock at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/productoutofstock.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template productoutofstock at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/productoutofstock.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template return_slip at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/return_slip.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template return_slip at /opt/bitnami/prestashop/modules//ps_emailalerts/mails/pl/return_slip.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template followup_1 at /opt/bitnami/prestashop/modules//followup/mails/pl/followup_1.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template followup_1 at /opt/bitnami/prestashop/modules//followup/mails/pl/followup_1.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template followup_2 at /opt/bitnami/prestashop/modules//followup/mails/pl/followup_2.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template followup_2 at /opt/bitnami/prestashop/modules//followup/mails/pl/followup_2.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template followup_3 at /opt/bitnami/prestashop/modules//followup/mails/pl/followup_3.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template followup_3 at /opt/bitnami/prestashop/modules//followup/mails/pl/followup_3.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template followup_4 at /opt/bitnami/prestashop/modules//followup/mails/pl/followup_4.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template followup_4 at /opt/bitnami/prestashop/modules//followup/mails/pl/followup_4.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template newsletter_conf at /opt/bitnami/prestashop/modules//ps_emailsubscription/mails/pl/newsletter_conf.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template newsletter_conf at /opt/bitnami/prestashop/modules//ps_emailsubscription/mails/pl/newsletter_conf.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template newsletter_verif at /opt/bitnami/prestashop/modules//ps_emailsubscription/mails/pl/newsletter_verif.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template newsletter_verif at /opt/bitnami/prestashop/modules//ps_emailsubscription/mails/pl/newsletter_verif.txt [] []
[2019-12-04 10:26:34] app.INFO: Generate html template newsletter_voucher at /opt/bitnami/prestashop/modules//ps_emailsubscription/mails/pl/newsletter_voucher.html [] []
[2019-12-04 10:26:34] app.INFO: Generate txt template newsletter_voucher at /opt/bitnami/prestashop/modules//ps_emailsubscription/mails/pl/newsletter_voucher.txt [] []
[2019-12-04 10:26:49] app.INFO: Exporting mail with theme modern for language Polski (Polish) [] []
[2019-12-04 10:26:49] app.INFO: Core output folder: /opt/bitnami/prestashop/mails [] []
[2019-12-04 10:26:49] app.INFO: Modules output folder: /opt/bitnami/prestashop/modules/ [] []
